"index"	"budget"	"keywords"	"original_language"	"title"	"popularity"	"release_date"	"revenue"	"runtime"	"vote_average"	"vote_count"	"genre"	"release_year"	"release_month"	"release_day"	"first_actor"	"first_actor_gender"	"director_first_name"	"director_gender"
4749	0	"love independent film best friend true love irish catholic"	"en"	"The Brothers McMullen"	1.578903	1995-08-09	0	98	6.3	23	"Drama"	1995	8	9	"Shari Albert"	"female"	"Edward"	"male"
1744	3e+07	"alcohol one-night stand bed pregnancy and birth condom"	"en"	"Knocked Up"	22.527211	2007-06-01	219076518	129	6.2	1214	"Drama"	2007	6	1	"Seth Rogen"	"male"	"Judd"	"male"
960	5e+07	"imaginary friend outcast"	"en"	"The Adventures of Sharkboy and Lavagirl"	12.31101	2005-06-10	69425966	92	4.4	269	"Adventure"	2005	6	10	"Taylor Lautner"	"female"	"Robert"	"male"
1810	3e+07	"christianity jewry roman empire jesus christ suffering"	"en"	"The Passion of the Christ"	38.171417	2004-02-25	611899420	127	6.9	864	"Drama"	2004	2	25	"Jim Caviezel"	"male"	"Mel"	"male"
2889	1200000	"safe remake heist inner city"	"en"	"Welcome to Collinwood"	3.582733	2002-05-24	0	86	6.2	50	"Comedy"	2002	5	24	"William H."	"male"	"Anthony"	"male"
1527	0	"composer mentor deaf-mute musical apprentice"	"en"	"Mr. Holland's Opus"	6.775294	1995-12-29	106269971	137	6.9	113	"Drama"	1995	12	29	"Richard Dreyfuss"	"male"	"Stephen"	"male"
3520	3500159	"london england tradition indian lead culture clash immigration"	"en"	"Bend It Like Beckham"	22.054546	2002-04-11	76578641	112	6.2	578	"Drama"	2002	4	11	"Parminder Nagra"	"male"	"Gurinder"	"male"
2050	2.5e+07	"transporter sequel suspense car bank heist"	"en"	"The Transporter Refueled"	25.002715	2015-09-03	72629670	96	5.2	559	"Thriller"	2015	9	3	"Ed Skrein"	"male"	"Camille"	"female"
3755	7e+06	"sex fight music illegal drug black american stereotype"	"en"	"The Wash"	2.453459	2001-11-16	10229331	93	5.3	26	"Comedy"	2001	11	16	"Dr. Dre"	NA	"DJ"	"male"
1390	3.5e+07	"prison underworld slavery castle vampire"	"en"	"Underworld: Rise of the Lycans"	51.927471	2009-01-22	91353501	92	6.2	1428	"Thriller"	2009	1	22	"Bill Nighy"	"male"	"Patrick"	"male"
